Z_PK,Z_ENT,Z_OPT,ZUUIDHASH,ZEVENT,ZSOURCE,ZCATEGORYTYPE,ZINTEGERVALUE,ZCOMPATIBILITYVERSION,ZENDDAYOFWEEK,ZENDSECONDOFDAY,ZHASCUSTOMMETADATA,ZHASSTRUCTUREDMETADATA,ZSECONDSFROMGMT,ZSHOULDSYNC,ZSTARTDAYOFWEEK,ZSTARTSECONDOFDAY,ZVALUECLASS,ZVALUEINTEGER,ZVALUETYPECODE,ZSTRUCTUREDMETADATA,ZVALUE,Z9_VALUE,ZIDENTIFIERTYPE,ZQUANTITYTYPE,ZCREATIONDATE,ZLOCALCREATIONDATE,ZCONFIDENCE,ZENDDATE,ZSTARTDATE,ZVALUEDOUBLE,ZDOUBLEVALUE,ZUUID,ZSTREAMNAME,ZVALUESTRING,ZSTRING,ZMETADATA
3926,11,1,8447026244889678452,,247.0,,,0,2,80416,0,1,7200,0,2,80416,1,2236308892753624024,-635635896434291546,2909.0,,,,,716682016.098526,716682016.098526,1.0,716682016.0,716682016.0,2.236308892753624e+18,,36D54748-88EF-4D96-A526-78ADCD2FE32F,/discoverability/signals,com.apple.controlcenter.presented,,
3928,11,1,-3014086516246237866,,248.0,,,0,2,80477,0,1,7200,0,2,80477,1,2236308892753624024,-635635896434291546,2909.0,,,,,716682077.493078,716682077.493078,1.0,716682077.0,716682077.0,2.236308892753624e+18,,604B26DC-27E6-41B4-B284-96B1FA2E8921,/discoverability/signals,com.apple.controlcenter.presented,,
3939,11,1,-4094630413329656081,,249.0,,,0,2,81119,0,1,7200,0,2,81119,1,2236308892753624024,-635635896434291546,2909.0,,,,,716682719.827054,716682719.827054,1.0,716682719.0,716682719.0,2.236308892753624e+18,,17B2E04E-E481-470C-B6AC-68E51929249E,/discoverability/signals,com.apple.controlcenter.presented,,
4073,11,1,2264406818730553274,,250.0,,,0,6,72034,0,1,7200,0,6,72034,1,2157847040686542601,-635635896434291546,3030.0,,,,,717105634.504619,717105634.504619,1.0,717105634.0,717105634.0,2.1578470406865426e+18,,F6809CA4-4854-497B-8128-BC2AABF114FB,/discoverability/signals,com.apple.notificationcenter.opened,,
4075,11,1,3683364775058908942,,251.0,,,0,6,72038,0,1,7200,0,6,72038,1,2157847040686542601,-635635896434291546,3030.0,,,,,717105638.842034,717105638.842034,1.0,717105638.0,717105638.0,2.1578470406865426e+18,,2C9E1ABF-33AF-423C-9211-2C8CA985F1BC,/discoverability/signals,com.apple.notificationcenter.opened,,
4366,11,1,-7484728008441416810,,252.0,,,0,4,76343,0,1,7200,0,4,76343,1,908971599454435065,-635635896434291546,3281.0,,,,,717541943.11755,717541943.11755,1.0,717541943.0,717541943.0,9.089715994544351e+17,,BAE9370C-7851-4A2D-B9BC-B3306FBFE870,/discoverability/signals,com.apple.screencapture.invoke,,
4477,11,1,-359325494189781989,,253.0,,,0,1,79541,0,1,7200,0,1,79541,1,2157847040686542601,-635635896434291546,3362.0,,,,,717804341.980508,717804341.980508,1.0,717804341.0,717804341.0,2.1578470406865426e+18,,E2DFBB53-87D8-4F66-B4B4-9A7FCE89AAD3,/discoverability/signals,com.apple.notificationcenter.opened,,
4566,11,1,-8847674248717689878,,254.0,,,0,5,59320,0,1,7200,0,5,59320,1,2687269364483809848,-635635896434291546,3429.0,,,,,718216120.980048,718216120.980048,1.0,718216120.0,718216120.0,2.68726936448381e+18,,A8FDFCBD-4D80-419A-B070-6EF358F3BB64,/discoverability/signals,com.apple.Safari.user-opened-tab,,
4632,11,1,4503615830240409099,,255.0,,,0,6,51148,0,1,7200,0,6,51148,1,908971599454435065,-635635896434291546,3281.0,,,,,718294348.408326,718294348.408326,1.0,718294348.0,718294348.0,9.089715994544351e+17,,ED569029-7EE2-4F90-98EC-87686FFBBBBE,/discoverability/signals,com.apple.screencapture.invoke,,
4640,11,1,-8251490198086401365,,256.0,,,0,6,51524,0,1,7200,0,6,51524,1,908971599454435065,-635635896434291546,3281.0,,,,,718294724.050879,718294724.050879,1.0,718294724.0,718294724.0,9.089715994544351e+17,,16A2CF19-5159-4D99-8106-9FE4F979B664,/discoverability/signals,com.apple.screencapture.invoke,,
